ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,DATE_TIME,SETTLEMENT_ID,type,ORDER_ID,SKU,DESCRIPTION,QUANTITY,MARKETPLACE,FULFILLMENT,ORDER_CITY,ORDER_STATE,ORDER_POSTAL,PRODUCT_SALES,SHIPPING_CREDITS,GIFT_WRAP_CREDITS,PROMOTIONAL_REBATES,SALES_TAX_COLLECTED,MARKETPLACE_FACILITATOR_TAX,SELLING_FEES,FBA_FEES,OTHER_TRANSACTION_FEES,OTHER,TOTAL,ACCOUNT_TYPE,MARKETPLACE_WITHHELD_TAX,TAX_COLLECTION_MODEL,PRODUCT_SALES_TAX,SHIPPING_CREDITS_TAX,GIFTWRAP_CREDITS_TAX,PROMOTIONAL_REBATES_TAX
1424,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-14T11:26:21+09:00,15925859941,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 4ZYTEDRLFPSMTKI",0,,,,,,0,0,0,0,0,0,0,0,0,-43.29,-43.29,Invoiced Orders,0,,0,0,0,0
1425,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-19T08:07:39+09:00,15925859941,Order,113-5671882-9821816,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,Berkeley,CA,94720-3370,15.78,0,0,0,0,0,-2.37,-6.43,0,0,6.98,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1426,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-28T11:34:37+09:00,15992581071,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 6BQD4O1IQKUSOJ7",0,,,,,,0,0,0,0,0,0,0,0,0,-6.98,-6.98,Invoiced Orders,0,,0,0,0,0
1427,2023-03-07T05:04:29.902+09:00,2023-03-07T05:04:29.902+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-06-01T16:07:51+09:00,15992581071,Order,114-1774430-9409830,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,REDWOOD CITY,CA,94063-1621,15.78,0,0,0,0,0,-7.11,-6.43,0,0,2.24,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1428,2023-03-07T05:04:29.902+09:00,2023-03-07T05:04:29.902+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-06-01T16:07:51+09:00,15992581071,Order,114-1774430-9409830,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,REDWOOD CITY,CA,94063-1621,15.78,0,0,0,0,0,0,-6.43,0,0,9.35,Invoiced Orders,0,,0,0,0,0
1429,2023-03-07T05:04:29.902+09:00,2023-03-07T05:04:29.902+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,1,2022-06-01T16:07:51+09:00,15992581071,Order,114-1774430-9409830,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,REDWOOD CITY,CA,94063-1621,15.78,0,0,0,0,0,0,-6.43,0,0,9.35,Invoiced Orders,0,,0,0,0,0
1430,2023-03-07T05:04:29.902+09:00,2023-03-07T05:04:29.902+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-06-02T12:40:09+09:00,15992581071,Order,111-6303004-6290607,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,New York,NY,10019,14.99,0,0,0,0,0,-1.2,-6.75,0,0,7.04,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1431,2023-03-07T05:05:20.131+09:00,2023-03-07T05:05:20.131+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-06-11T11:36:54+09:00,16066221221,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 4TJGGEPP18N8RKS",0,,,,,,0,0,0,0,0,0,0,0,0,-27.98,-27.98,Invoiced Orders,0,,0,0,0,0
1432,2023-03-07T05:05:21.239+09:00,2023-03-07T05:05:21.239+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-08-18T12:11:47+09:00,16066221221,Order,112-9213011-5686661,FBA-OTG-RAM-JINSP-1BOX,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,amazon.com,Amazon,New York,NY,10065,23.31,0,0,0,0,0,-3.5,-7.7,0,0,12.11,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1433,2023-03-07T05:05:21.239+09:00,2023-03-07T05:05:21.239+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-08-20T11:32:46+09:00,16133110341,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 2PPIO2TKVI0R8GX",0,,,,,,0,0,0,0,0,0,0,0,0,-12.11,-12.11,Invoiced Orders,0,,0,0,0,0
