ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,RETURN_DATE,ORDER_ID,SKU,ASIN,FNSKU,PRODUCT_NAME,QUANTITY,FULFILLMENT_CENTER_ID,DETAILED_DISPOSITION,REASON,STATUS,LICENSE_PLATE_NUMBER,CUSTOMER_COMMENTS
1378,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,113-5723894-6790604,FBA-OTG-PSH-CHI-24PK,B089NZ28K9,X002T08WS7,[OTTOGI] PPUSHU PPUSHU NOODLE SNACK- Grilled Chicken Flavor(90g) - 24 Pack,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCN4905622,
1379,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1555150,
1380,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1555147,
1381,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1555149,
1382,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1555148,
1383,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1555146,
1384,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-17T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1556496,
1385,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-17T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1556495,
1386,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-17T17:00:00+09:00,112-5258270-5518639,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,PHX6,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCF1556497,
1387,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-15T17:00:00+09:00,114-1703001-6959436,FBA-OTG-RAM-CHSE-4PK-NEW,B091X2QB7H,X002UZVMXN,"[OTTOGI] Cheese Ramen, KOREAN STYLE INSTANT NOODLE, Rich flavor with savory cheese (111g) - 4 Pack",1,CVG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCB9231864,
